name,zipcode,lat,long
Steinway Street Station,"Queens, NY 11103",40.75698735912575,-73.9205264716827
Kosciuszko Street Station,"Brooklyn, NY 11221",40.69317200129202,-73.92850899927413
Gates Avenue Station,"Brooklyn, NY 11221",40.689583999013905,-73.92215600150752
Central Ave,"Brooklyn, NY 11221",40.69787300011831,-73.92724299902838
Knickerbocker Av / Myrtle Av,"Brooklyn, NY 11237",40.69866000123805,-73.91972000188625
30 Avenue Station,"Queens, NY 11102",40.76677866673298,-73.9214790001739
Jefferson St,"Brooklyn, NY 11237",40.706606665988716,-73.9229130000312
Morgan Avenue Subway Station,"Brooklyn, NY 11237",40.70615166680729,-73.93314700024209
Queens Plaza Subway Station,"Queens, NY 11101",40.74891771986323,-73.93713823965695
18 Avenue Station,"Brooklyn, NY 11230",40.62975466638584,-73.97697099965796
77 Street Station,"Brooklyn, NY 11209",40.629741666886915,-74.0255099996266
Bay Ridge Av Station,"Brooklyn, NY 11220",40.63496666682377,-74.02337699950728
50 St,"Brooklyn, NY 11219",40.636260890961395,-73.9946587805514
Fort Hamilton Pkwy,"Brooklyn, NY 11219",40.63138566722445,-74.00535100046275
25 Avenue Station,"Brooklyn, NY 11214",40.59770366695856,-73.98682900011477
Bay Parkway Station,"Brooklyn, NY 11214",40.601950461572315,-73.9936762000529
Bay Pkwy,"Brooklyn, NY 11204",40.617108999866005,-73.98452199846113
18 Avenue Station,"Brooklyn, NY 11204",40.620686997680025,-73.99045399865993
Bay Ridge - 95 St,"Brooklyn, NY 11209",40.61662166725951,-74.03087600085765
86 Street Station,"Brooklyn, NY 11209",40.62268666715025,-74.0283979999864
79 Street Station,"Brooklyn, NY 11220",40.61315892569516,-74.00058287431507
71 St,"Brooklyn, NY 11228",40.61925870977273,-73.99884094850685
20 Avenue Station,"Brooklyn, NY 11214",40.60467699816932,-73.99817432157568
18 Avenue Station,"Brooklyn, NY 11214",40.60773573171741,-74.00159259239406
New Utrecht Av,"Brooklyn, NY 11219",40.626224462922195,-73.99685724994863
New Utrecht Av,"Brooklyn, NY 11219",40.62484166725887,-73.99635300025969
Avenue U,"Brooklyn, NY 11223",40.59592482551748,-73.97337641974885
Kings Hwy,"Brooklyn, NY 11223",40.603258405128265,-73.9723553085244
Brighton Beach,"Brooklyn, NY 11235",40.577710196642435,-73.96135378598797
Sheepshead Bay,"Brooklyn, NY 11235",40.58654754707536,-73.95405791257907
Avenue U Station,"Brooklyn, NY 11229",40.59930895095475,-73.95581122316301
Kings Highway Station,"Kings Hwy, Brooklyn, NY 11229",40.608638645396006,-73.95760873538083
Avenue U,"Brooklyn, NY 11223",40.597235999920436,-73.97908400099428
Kings Highway Station,"Brooklyn, NY 11223",40.60405899980493,-73.98037300229343
Neptune Av,"W 6th St, Brooklyn, NY 11224",40.580738758491464,-73.97459272818807
Avenue X Station,"Brooklyn, NY 11223",40.589449666625285,-73.97426599968905
Bay 50 St Station,"Brooklyn, NY 11214",40.58884066651933,-73.98376500045946
86 Street Subway Station,"Brooklyn, NY 11223",40.59246500088859,-73.97818899936274
Avenue P,"Brooklyn, NY 11223",40.608842808949916,-73.97300281528751
Avenue N,"Brooklyn, NY 11230",40.61435671190883,-73.97404850873143
Bay Pkwy,"Brooklyn, NY 11230",40.62073162316788,-73.9752569782215
Avenue M,"Brooklyn, NY 11230",40.617397744443736,-73.9592431052215
Bay Pkwy,"Brooklyn, NY 11204",40.61145578989005,-73.98178001069293
Avenue I Station,"Brooklyn, NY 11230",40.62501744019143,-73.97606933170925
Avenue J,"Brooklyn, NY 11230",40.625022819915166,-73.96069316246925
Avenue H,"Brooklyn, NY 11230",40.62920837758969,-73.96151793942495
Neck Road Station Q,"Brooklyn, NY 11229",40.59532169111695,-73.95507827493762
21 St - Queensbridge,"Queens, NY 11101",40.75373927087553,-73.94193761457447
50 Street Subway Station,"New York, NY 10019",40.76245599925997,-73.98598400026407
7 Avenue Station,"New York, NY 10019",40.76297015245628,-73.98169782344476
47-50 Streets Rockefeller Center Station,"New York, NY 10020",40.75864100159815,-73.98133100227702
57 Street Station,"New York, NY 10019",40.76408500081713,-73.97736800085171
Lexington Av-63 Street Subway Station,"New York, NY 10065",40.76461809442373,-73.96608964413245
Roosevelt Island Subway Station,"New York, NY 10044",40.75917199967108,-73.95323499978866
