,index,name,zipcode,lat,long,Geography,Median income (dollars); Estimate; Households
227,403,CHAMBERS STREET STATION, 10013,40.71547800011327,-74.00926600170112,ZCTA5 10013,106056.0
226,149,GRAHAM AV, 11211,40.71457599836364,-73.94394399869037,ZCTA5 10013,106056.0
236,463,FRANKLIN ST, 10013,40.719318001302135,-74.00688600277107,ZCTA5 10013,106056.0
239,409,CANAL STREET STATION, 10013,40.72082400007119,-74.0052290023424,ZCTA5 10013,106056.0
242,89,CANAL ST STATION, 10013,40.72285399778783,-74.0062770001748,ZCTA5 10013,106056.0
234,1,CANAL ST, 10013,40.71880300107709,-74.00019299927328,ZCTA5 10013,106056.0
248,394,SPRING STREET SUBWAY STATION, 10013,40.72622700129312,-74.00373899843763,ZCTA5 10013,106056.0
235,434,CANAL ST, 10013,40.718814263587134,-74.00105471306033,ZCTA5 10013,106056.0
240,244,FOREST HILLS - 71 AV, 11375,40.72159430953587,-73.84451672012669,ZCTA5 10012,104561.0
241,466,SPRING ST SUBWAY STATION, 10012,40.72230099999366,-73.99714100006673,ZCTA5 10012,104561.0
244,399,PRINCE ST STATION, 10012,40.72432866597571,-73.99770200045987,ZCTA5 10012,104561.0
1,99,OCEAN PKWY, 11235,40.57631166708091,-73.96850099975177,ZCTA5 10012,104561.0
245,136,NASSAU AV, 11222,40.724479997808274,-73.95118300016523,ZCTA5 10012,104561.0
246,432,BROADWAY-LAFAYETTE ST STATION, 10012,40.725296998738045,-73.99620399876055,ZCTA5 10012,104561.0
247,456,BROADWAY-LAFAYETTE ST STATION, 10012,40.72591466682659,-73.99465900006331,ZCTA5 10012,104561.0
255,137,GREENPOINT AV, 11222,40.73126699971465,-73.95442500146234,ZCTA5 10012,104561.0
256,83,WEST 4 ST-WASHINGTON SQ STA, 10012,40.73225449336788,-74.00030814755975,ZCTA5 10012,104561.0
257,205,WEST 4 ST-WASHINGTON SQ STA, 10012,40.73233799774325,-74.00049500225434,ZCTA5 10012,104561.0
0,197,WEST 8 STREET-NEW YORK AQUARIUM, 11224,40.576033818103646,-73.97595787413822,ZCTA5 10012,104561.0
9,16,BEACH 90 STREET HOLLAND, 11693,40.58809156457325,-73.8136514041963,ZCTA5 10012,104561.0
19,330,AVENUE U, 11223,40.59723599992044,-73.97908400099428,ZCTA5 10012,104561.0
23,313,BAY PARKWAY STATION, 11214,40.601950461572315,-73.9936762000529,ZCTA5 10012,104561.0
22,185,BEACH 25 STREET WAVECREST STATION, 11691,40.60006600105881,-73.76135299762073,ZCTA5 10012,104561.0
21,328,AVENUE U STATION, 11229,40.59930895095475,-73.95581122316301,ZCTA5 10012,104561.0
